,state,total_mean,part_rate,year,geog_location
34,North Dakota,1263,0.02,2019,Midwest
35,Ohio,1097,0.19,2019,Midwest
36,Oklahoma,963,0.22,2019,South
37,Oregon,1112,0.51,2019,West
38,Pennsylvania,1082,0.7,2019,Northeast
40,Rhode Island,995,1,2019,Northeast
41,South Carolina,1030,0.68,2019,South
42,South Dakota,1268,0.03,2019,Midwest
43,Tennessee,1220,0.07,2019,South
44,Texas,1022,0.68,2019,South
45,Utah,1230,0.04,2019,West
46,Vermont,1106,0.66,2019,Northeast
48,Virginia,1119,0.68,2019,South
49,Washington,1074,0.7,2019,West
50,West Virginia,943,0.99,2019,South
51,Wisconsin,1283,0.03,2019,Midwest
52,Wyoming,1238,0.03,2019,West
